commodity,category,unit,year,price
Crude Oil,Energy,$/bbl,1990,83.7281
Crude Oil,Energy,$/bbl,1991,97.8513
Crude Oil,Energy,$/bbl,1992,101.9273
Crude Oil,Energy,$/bbl,1993,105.3531
Crude Oil,Energy,$/bbl,1994,105.1401
Crude Oil,Energy,$/bbl,1995,103.3965
Crude Oil,Energy,$/bbl,1996,123.2137
Crude Oil,Energy,$/bbl,1997,104.5416
Crude Oil,Energy,$/bbl,1998,93.7375
Crude Oil,Energy,$/bbl,1999,90.0085
Crude Oil,Energy,$/bbl,2000,104.5905
Crude Oil,Energy,$/bbl,2001,103.4627
Crude Oil,Energy,$/bbl,2002,97.6521
Crude Oil,Energy,$/bbl,2003,90.7687
Crude Oil,Energy,$/bbl,2004,96.0238
Crude Oil,Energy,$/bbl,2005,97.4601
Crude Oil,Energy,$/bbl,2006,85.6448
Crude Oil,Energy,$/bbl,2007,103.9226
Crude Oil,Energy,$/bbl,2008,109.404
Crude Oil,Energy,$/bbl,2009,114.5788
Crude Oil,Energy,$/bbl,2010,122.8315
Crude Oil,Energy,$/bbl,2011,140.7095
Crude Oil,Energy,$/bbl,2012,151.135
Crude Oil,Energy,$/bbl,2013,135.7026
Crude Oil,Energy,$/bbl,2014,117.8428
Crude Oil,Energy,$/bbl,2015,109.7809
Crude Oil,Energy,$/bbl,2016,99.7869
Crude Oil,Energy,$/bbl,2017,92.9515
Crude Oil,Energy,$/bbl,2018,95.351
Crude Oil,Energy,$/bbl,2019,78.7522
Crude Oil,Energy,$/bbl,2020,65.615
Crude Oil,Energy,$/bbl,2021,48.5946
Crude Oil,Energy,$/bbl,2022,47.6499
Crude Oil,Energy,$/bbl,2023,44.6248
Crude Oil,Energy,$/bbl,2024,37.2034
Coal,Energy,$/mt,1990,107.26
Coal,Energy,$/mt,1991,99.0309
Coal,Energy,$/mt,1992,108.7539
Coal,Energy,$/mt,1993,101.6231
Coal,Energy,$/mt,1994,80.8664
Coal,Energy,$/mt,1995,80.6039
Coal,Energy,$/mt,1996,92.0347
Coal,Energy,$/mt,1997,101.8314
Coal,Energy,$/mt,1998,107.3052
Coal,Energy,$/mt,1999,151.8655
Coal,Energy,$/mt,2000,169.7281
Coal,Energy,$/mt,2001,204.1324
Coal,Energy,$/mt,2002,284.1679
Coal,Energy,$/mt,2003,244.6529
Coal,Energy,$/mt,2004,220.0244
Coal,Energy,$/mt,2005,289.9328
Coal,Energy,$/mt,2006,271.2409
Coal,Energy,$/mt,2007,287.5143
Coal,Energy,$/mt,2008,349.7102
Coal,Energy,$/mt,2009,415.9684
Coal,Energy,$/mt,2010,548.8331
Coal,Energy,$/mt,2011,702.7417
Coal,Energy,$/mt,2012,854.769
Coal,Energy,$/mt,2013,802.9209
Coal,Energy,$/mt,2014,943.4756
Coal,Energy,$/mt,2015,1040.4546
Coal,Energy,$/mt,2016,890.7392
Coal,Energy,$/mt,2017,1130.0347
Coal,Energy,$/mt,2018,1329.9546
Coal,Energy,$/mt,2019,1412.9079
Coal,Energy,$/mt,2020,1441.849
Coal,Energy,$/mt,2021,1262.1189
Coal,Energy,$/mt,2022,1370.0738
Coal,Energy,$/mt,2023,1542.663
Coal,Energy,$/mt,2024,1435.5316
Natural Gas,Energy,$/mmbtu,1990,38.5926
Natural Gas,Energy,$/mmbtu,1991,44.2756
Natural Gas,Energy,$/mmbtu,1992,44.547
Natural Gas,Energy,$/mmbtu,1993,43.0959
Natural Gas,Energy,$/mmbtu,1994,51.634
Natural Gas,Energy,$/mmbtu,1995,52.9052
Natural Gas,Energy,$/mmbtu,1996,53.4475
Natural Gas,Energy,$/mmbtu,1997,68.9526
Natural Gas,Energy,$/mmbtu,1998,62.665
Natural Gas,Energy,$/mmbtu,1999,70.0379
Natural Gas,Energy,$/mmbtu,2000,88.7556
Natural Gas,Energy,$/mmbtu,2001,79.9439
Natural Gas,Energy,$/mmbtu,2002,88.685
Natural Gas,Energy,$/mmbtu,2003,71.4654
Natural Gas,Energy,$/mmbtu,2004,67.5915
Natural Gas,Energy,$/mmbtu,2005,71.9369
Natural Gas,Energy,$/mmbtu,2006,49.6626
Natural Gas,Energy,$/mmbtu,2007,45.6095
Natural Gas,Energy,$/mmbtu,2008,49.4778
Natural Gas,Energy,$/mmbtu,2009,48.1425
Natural Gas,Energy,$/mmbtu,2010,43.6214
Natural Gas,Energy,$/mmbtu,2011,51.7532
Natural Gas,Energy,$/mmbtu,2012,57.2283
Natural Gas,Energy,$/mmbtu,2013,69.7575
Natural Gas,Energy,$/mmbtu,2014,74.148
Natural Gas,Energy,$/mmbtu,2015,58.2853
Natural Gas,Energy,$/mmbtu,2016,51.213
Natural Gas,Energy,$/mmbtu,2017,44.3801
Natural Gas,Energy,$/mmbtu,2018,42.6305
Natural Gas,Energy,$/mmbtu,2019,40.7735
Natural Gas,Energy,$/mmbtu,2020,48.7795
Natural Gas,Energy,$/mmbtu,2021,67.3646
Natural Gas,Energy,$/mmbtu,2022,85.2701
Natural Gas,Energy,$/mmbtu,2023,86.4557
Natural Gas,Energy,$/mmbtu,2024,89.5929
Copper,Metals,$/lb,1990,118.6073
Copper,Metals,$/lb,1991,126.7747
Copper,Metals,$/lb,1992,111.816
Copper,Metals,$/lb,1993,122.0395
Copper,Metals,$/lb,1994,110.5054
Copper,Metals,$/lb,1995,111.9733
Copper,Metals,$/lb,1996,130.5814
Copper,Metals,$/lb,1997,128.6403
Copper,Metals,$/lb,1998,141.2863
Copper,Metals,$/lb,1999,161.7898
Copper,Metals,$/lb,2000,174.3997
Copper,Metals,$/lb,2001,161.6595
Copper,Metals,$/lb,2002,165.2155
Copper,Metals,$/lb,2003,203.5069
Copper,Metals,$/lb,2004,176.4569
Copper,Metals,$/lb,2005,181.254
Copper,Metals,$/lb,2006,181.5973
Copper,Metals,$/lb,2007,193.125
Copper,Metals,$/lb,2008,216.4756
Copper,Metals,$/lb,2009,259.6984
Copper,Metals,$/lb,2010,266.8905
Copper,Metals,$/lb,2011,300.7265
Copper,Metals,$/lb,2012,330.2479
Copper,Metals,$/lb,2013,361.8999
Copper,Metals,$/lb,2014,362.1941
Copper,Metals,$/lb,2015,348.1211
Copper,Metals,$/lb,2016,331.322
Copper,Metals,$/lb,2017,325.7534
Copper,Metals,$/lb,2018,352.423
Copper,Metals,$/lb,2019,395.445
Copper,Metals,$/lb,2020,427.8847
Copper,Metals,$/lb,2021,428.8188
Copper,Metals,$/lb,2022,522.1824
Copper,Metals,$/lb,2023,622.1515
Copper,Metals,$/lb,2024,634.6111
Aluminum,Metals,$/mt,1990,68.0942
Aluminum,Metals,$/mt,1991,61.0821
Aluminum,Metals,$/mt,1992,70.8709
Aluminum,Metals,$/mt,1993,71.0495
Aluminum,Metals,$/mt,1994,72.0167
Aluminum,Metals,$/mt,1995,89.5465
Aluminum,Metals,$/mt,1996,95.1271
Aluminum,Metals,$/mt,1997,89.3216
Aluminum,Metals,$/mt,1998,72.7923
Aluminum,Metals,$/mt,1999,91.4852
Aluminum,Metals,$/mt,2000,60.2257
Aluminum,Metals,$/mt,2001,57.0163
Aluminum,Metals,$/mt,2002,53.3722
Aluminum,Metals,$/mt,2003,51.4253
Aluminum,Metals,$/mt,2004,62.3959
Aluminum,Metals,$/mt,2005,69.2723
Aluminum,Metals,$/mt,2006,69.3786
Aluminum,Metals,$/mt,2007,52.8252
Aluminum,Metals,$/mt,2008,55.4565
Aluminum,Metals,$/mt,2009,47.2351
Aluminum,Metals,$/mt,2010,58.0893
Aluminum,Metals,$/mt,2011,57.0556
Aluminum,Metals,$/mt,2012,56.3957
Aluminum,Metals,$/mt,2013,52.7394
Aluminum,Metals,$/mt,2014,52.8338
Aluminum,Metals,$/mt,2015,50.5072
Aluminum,Metals,$/mt,2016,63.9107
Aluminum,Metals,$/mt,2017,64.3118
Aluminum,Metals,$/mt,2018,52.3459
Aluminum,Metals,$/mt,2019,53.344
Aluminum,Metals,$/mt,2020,47.7761
Aluminum,Metals,$/mt,2021,39.9277
Aluminum,Metals,$/mt,2022,40.5202
Aluminum,Metals,$/mt,2023,46.9024
Aluminum,Metals,$/mt,2024,56.2109
Zinc,Metals,$/mt,1990,6.3671
Zinc,Metals,$/mt,1991,8.0092
Zinc,Metals,$/mt,1992,7.9147
Zinc,Metals,$/mt,1993,7.5905
Zinc,Metals,$/mt,1994,4.9358
Zinc,Metals,$/mt,1995,4.7333
Zinc,Metals,$/mt,1996,4.2269
Zinc,Metals,$/mt,1997,4.1797
Zinc,Metals,$/mt,1998,4.6127
Zinc,Metals,$/mt,1999,4.9385
Zinc,Metals,$/mt,2000,5.13
Zinc,Metals,$/mt,2001,5.5099
Zinc,Metals,$/mt,2002,5.6422
Zinc,Metals,$/mt,2003,6.0578
Zinc,Metals,$/mt,2004,3.3114
Zinc,Metals,$/mt,2005,3.318
Zinc,Metals,$/mt,2006,3.4054
